# Copyright (C) 2023  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 22.1std.1 Build 917 02/14/2023 SC Lite Edition
# File: C:\Users\Ruchira\Desktop\FloatingPointUnit.csv
# Generated on: Mon Dec 23 19:11:28 2024

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
seg_out4[5],Output,PIN_U21,5,B5_N0,PIN_U21,2.5 V,,,,,
seg_out4[4],Output,PIN_AB20,4,B4_N0,PIN_AB20,2.5 V,,,,,
seg_out4[3],Output,PIN_AA21,4,B4_N0,PIN_AA21,2.5 V,,,,,
seg_out4[2],Output,PIN_AD24,4,B4_N0,PIN_AD24,2.5 V,,,,,
seg_out4[1],Output,PIN_AF23,4,B4_N0,PIN_AF23,2.5 V,,,,,
seg_out4[0],Output,PIN_Y19,4,B4_N0,PIN_Y19,2.5 V,,,,,
seg_out3[6],Output,PIN_AA25,5,B5_N1,PIN_AA25,2.5 V,,,,,
seg_out3[5],Output,PIN_AA26,5,B5_N1,PIN_AA26,2.5 V,,,,,
seg_out3[4],Output,PIN_Y25,5,B5_N1,PIN_Y25,2.5 V,,,,,
seg_out3[3],Output,PIN_W26,5,B5_N1,PIN_W26,2.5 V,,,,,
seg_out3[2],Output,PIN_Y26,5,B5_N1,PIN_Y26,2.5 V,,,,,
seg_out3[1],Output,PIN_W27,5,B5_N1,PIN_W27,2.5 V,,,,,
seg_out3[0],Output,PIN_W28,5,B5_N1,PIN_W28,2.5 V,,,,,
seg_out2[6],Output,PIN_M24,6,B6_N2,PIN_M24,2.5 V,,,,,
seg_out2[5],Output,PIN_Y22,5,B5_N0,PIN_Y22,2.5 V,,,,,
seg_out2[4],Output,PIN_W21,5,B5_N1,PIN_W21,2.5 V,,,,,
seg_out2[3],Output,PIN_W22,5,B5_N0,PIN_W22,2.5 V,,,,,
seg_out2[2],Output,PIN_W25,5,B5_N1,PIN_W25,2.5 V,,,,,
seg_out2[1],Output,PIN_U23,5,B5_N1,PIN_U23,2.5 V,,,,,
seg_out2[0],Output,PIN_U24,5,B5_N0,PIN_U24,2.5 V,,,,,
seg_out1[6],Output,PIN_G18,7,B7_N2,PIN_G18,2.5 V,,,,,
seg_out1[5],Output,PIN_F22,7,B7_N0,PIN_F22,2.5 V,,,,,
seg_out1[4],Output,PIN_E17,7,B7_N2,PIN_E17,2.5 V,,,,,
seg_out1[3],Output,PIN_L26,6,B6_N1,PIN_L26,2.5 V,,,,,
seg_out1[2],Output,PIN_L25,6,B6_N1,PIN_L25,2.5 V,,,,,
seg_out1[1],Output,PIN_J22,6,B6_N0,PIN_J22,2.5 V,,,,,
seg_out1[0],Output,PIN_H22,6,B6_N0,PIN_H22,2.5 V,,,,,
rstn_number,Unknown,PIN_M21,6,B6_N1,,,,,,,
rstn,Input,PIN_M23,6,B6_N2,PIN_M23,2.5 V,,,,,
partition[2],Unknown,PIN_AC27,5,B5_N2,,,,,,,
partition[1],Unknown,PIN_AC28,5,B5_N2,,,,,,,
partition[0],Unknown,PIN_AB28,5,B5_N1,,,,,,,
operation[1],Input,PIN_AC26,5,B5_N2,PIN_AC26,2.5 V,,,,,
operation[0],Input,PIN_AB27,5,B5_N1,PIN_AB27,2.5 V,,,,,
number[7],Unknown,PIN_Y23,5,B5_N2,,,,,,,
number[6],Unknown,PIN_Y24,5,B5_N2,,,,,,,
number[5],Unknown,PIN_AA22,5,B5_N2,,,,,,,
number[4],Unknown,PIN_AA23,5,B5_N2,,,,,,,
number[3],Unknown,PIN_AA24,5,B5_N2,,,,,,,
number[2],Unknown,PIN_AB23,5,B5_N2,,,,,,,
number[1],Unknown,PIN_AB24,5,B5_N2,,,,,,,
number[0],Unknown,PIN_AC24,5,B5_N2,,,,,,,
enter,Unknown,PIN_N21,6,B6_N2,,,,,,,
clk,Input,PIN_Y2,2,B2_N0,PIN_Y2,2.5 V,,,,,
Rx,Input,PIN_AC15,4,B4_N2,PIN_AC15,2.5 V,,,,,
